,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,2827591,2020-11-05T00:00:00,AALI,Astra Agro Lestari Tbk.,--M-1M3EM2000012--------------,10550.0,0.0,0.0,10875.0,10650.0,10775.0,225.0,2099600.0,22662007500.0,1543.0,875.3,10800.0,4600.0,10775.0,97600.0,1924688333.0,1924688333.0,1924688333.0,1084800.0,125200.0,,0.0,0.0,0.0,,
1,2,2827592,2020-11-05T00:00:00,ABBA,Mahaka Media Tbk.,--U-210000000095---E----------,50.0,0.0,0.0,60.0,50.0,50.0,0.0,105989600.0,5759491500.0,2429.0,87.7,50.0,5457600.0,0.0,0.0,2755125000.0,2755125000.0,2755125000.0,0.0,0.0,,0.0,0.0,0.0,,
2,3,2827593,2020-11-05T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U-210500000084--------------,6450.0,0.0,0.0,0.0,0.0,6450.0,0.0,0.0,0.0,0.0,1472.5,6450.0,1100.0,0.0,0.0,620806680.0,620806680.0,620806680.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,2827594,2020-11-05T00:00:00,ABMM,ABM Investama Tbk.,--U-110500000098--------------,795.0,0.0,0.0,805.0,780.0,805.0,10.0,11700.0,9356000.0,13.0,21.5,805.0,3800.0,800.0,300.0,2753165000.0,2753165000.0,2753165000.0,0.0,0.0,,0.0,0.0,0.0,,
4,5,2827595,2020-11-05T00:00:00,ACES,Ace Hardware Indonesia Tbk.,--MO1XKPMA000093--M-----------,1575.0,1595.0,1595.0,1610.0,1590.0,1610.0,35.0,9511100.0,15240983500.0,4396.0,1963.4,1610.0,45400.0,1605.0,307800.0,17150000000.0,17150000000.0,17150000000.0,3165700.0,7905000.0,,83.0,133215.0,1.0,,
5,6,2827596,2020-11-05T00:00:00,ACST,Acset Indonusa Tbk.,--U-113000000062--------------,190.0,0.0,0.0,199.0,191.0,193.0,3.0,50425600.0,9830828300.0,2141.0,14.3,194.0,432600.0,193.0,6947400.0,6425160000.0,6425160000.0,6425160000.0,252000.0,70000.0,,0.0,0.0,0.0,,
6,7,2827597,2020-11-05T00:00:00,ADES,Akasha Wira International Tbk.,--U-213000000051--------------,1170.0,0.0,0.0,1180.0,1140.0,1165.0,-5.0,81100.0,93993000.0,65.0,60.5,1170.0,14900.0,1165.0,3100.0,589896800.0,589896800.0,589896800.0,0.0,0.0,,0.0,0.0,0.0,,
7,8,2827598,2020-11-05T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--M-18AF80000062--------------,580.0,0.0,0.0,595.0,580.0,590.0,10.0,14543100.0,8572985500.0,946.0,463.4,590.0,872900.0,585.0,2080700.0,3560849376.0,3560849376.0,3560849376.0,35700.0,213100.0,,1002500.0,581350000.0,2.0,,
8,9,2827599,2020-11-05T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F00000082--------------,7700.0,0.0,0.0,7825.0,7600.0,7725.0,25.0,186500.0,1435630000.0,218.0,332.3,7750.0,300.0,7700.0,2700.0,1000000000.0,1000000000.0,1000000000.0,50000.0,0.0,,0.0,0.0,0.0,,
9,10,2827600,2020-11-05T00:00:00,ADMG,Polychem Indonesia Tbk,--U-113000000034--------------,150.0,0.0,0.0,153.0,143.0,145.0,-5.0,1872800.0,273965500.0,302.0,12.9,146.0,39200.0,144.0,100100.0,3889179559.0,3889179559.0,3889179559.0,0.0,250000.0,,0.0,0.0,0.0,,
10,11,2827601,2020-11-05T00:00:00,ADRO,Adaro Energy Tbk.,--MO1XDCU1000021--------------,1110.0,1140.0,1140.0,1155.0,1125.0,1140.0,30.0,44255800.0,50288526500.0,6853.0,103.6,1145.0,1677200.0,1140.0,729600.0,31985962000.0,31985962000.0,31985962000.0,5698300.0,12764700.0,,1606.0,1671310.0,3.0,,
11,12,2827602,2020-11-05T00:00:00,AGAR,Asia Sejahtera Mina Tbk.,--U-213000000091--------------,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,454.5,498.0,3500.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0,,
12,13,2827603,2020-11-05T00:00:00,AGII,Aneka Gas Industri Tbk.,--M-113500000034--------------,730.0,0.0,0.0,770.0,730.0,750.0,20.0,3342100.0,2515796500.0,240.0,68.2,750.0,12000.0,745.0,19800.0,3066660000.0,3066660000.0,3066660000.0,1331700.0,1350000.0,,0.0,0.0,0.0,,
13,14,2827604,2020-11-05T00:00:00,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M-110500000081--------------,368.0,0.0,0.0,384.0,372.0,376.0,8.0,94771100.0,35895003800.0,6694.0,614.3,378.0,430300.0,376.0,3500000.0,21129857328.0,21129857328.0,21129857328.0,807600.0,372300.0,,1000.0,388000.0,1.0,,
14,15,2827605,2020-11-05T00:00:00,AGRS,Bank IBK Indonesia Tbk.,--U-210500000081--------------,159.0,0.0,0.0,169.0,150.0,163.0,4.0,19400.0,3110800.0,26.0,148.2,167.0,300.0,163.0,8500.0,11154923542.0,11154923542.0,11728776913.0,0.0,0.0,,0.0,0.0,0.0,,
15,16,2827606,2020-11-05T00:00:00,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-210000000084--------------,57.0,0.0,0.0,58.0,55.0,56.0,-1.0,227200.0,12964000.0,66.0,211.1,56.0,94300.0,55.0,49400.0,2940000000.0,2940000000.0,2940000000.0,0.0,0.0,,0.0,0.0,0.0,,
16,17,2827607,2020-11-05T00:00:00,AIMS,Akbar Indo Makmur Stimec Tbk,--U-210000000091--------------,113.0,0.0,0.0,126.0,111.0,125.0,12.0,2400.0,282800.0,7.0,100.0,127.0,127600.0,125.0,6200.0,220000000.0,220000000.0,220000000.0,0.0,0.0,,0.0,0.0,0.0,,
17,18,2827608,2020-11-05T00:00:00,AISA,Tiga Pilar Sejahtera Food Tbk.,--U-110000000051---E----------,214.0,0.0,0.0,230.0,216.0,220.0,6.0,92048200.0,20504949400.0,3058.0,26.8,222.0,1019200.0,220.0,4466100.0,4787500000.0,4787500000.0,4787500000.0,34500.0,1191200.0,,0.0,0.0,0.0,,
18,19,2827609,2020-11-05T00:00:00,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-210000000094--------------,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,2.0,75.9,50.0,4756400.0,0.0,0.0,6449463636.0,6449463636.0,6449463636.0,0.0,0.0,,0.0,0.0,0.0,,
19,20,2827610,2020-11-05T00:00:00,AKPI,Argha Karya Prima Industry Tbk.,--U-213000000035--------------,288.0,0.0,0.0,288.0,288.0,288.0,0.0,5000.0,1440000.0,2.0,38.0,294.0,200.0,288.0,37100.0,680000000.0,680000000.0,680000000.0,0.0,0.0,,0.0,0.0,0.0,,
20,21,2827611,2020-11-05T00:00:00,AKRA,AKR Corporindo Tbk.,--MO1X3XM0000091--------------,2570.0,2590.0,2600.0,2610.0,2570.0,2600.0,30.0,17597900.0,45693169000.0,2443.0,2072.2,2610.0,333500.0,2600.0,1274700.0,4014694920.0,4014694920.0,4014694920.0,5212500.0,3917300.0,,0.0,0.0,0.0,,
21,22,2827612,2020-11-05T00:00:00,AKSI,Maming Enam Sembilan Mineral Tbk.,--U-213000000074--------------,396.0,0.0,0.0,396.0,370.0,396.0,0.0,1800.0,705000.0,7.0,198.0,396.0,6400.0,370.0,7300.0,720000000.0,720000000.0,720000000.0,0.0,0.0,,0.0,0.0,0.0,,
22,23,2827613,2020-11-05T00:00:00,ALDO,Alkindo Naratama Tbk.,--U-213000000038--------------,428.0,0.0,0.0,428.0,418.0,418.0,-10.0,200500.0,83810000.0,5.0,306.4,418.0,220300.0,0.0,0.0,1100000000.0,1100000000.0,1100000000.0,0.0,0.0,,0.0,0.0,0.0,,
23,24,2827614,2020-11-05T00:00:00,ALKA,Alakasa Industrindo Tbk,--U-213000000033--------------,252.0,0.0,0.0,252.0,236.0,236.0,-16.0,8600.0,2083600.0,14.0,39.7,248.0,6500.0,236.0,2200.0,507665055.0,507665055.0,507665055.0,0.0,0.0,,0.0,0.0,0.0,,
