"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3000593,"2021-10-06T00:00:00","AALI","Astra Agro Lestari Tbk.","CDM-1M3EM00000D232------------",9900,0,0,10400,10000,10150,250,13465800,137886345000,11299,824.6,10175,7300,10150,51400,1924688333,1924688333,1464495353,592800,1571200,"",0,0,0,NA,NA
"2",2,3000594,"2021-10-06T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614-E-L--------",535,0,0,0,0,535,0,0,0,0,938.6,0,0,0,0,2755125000,2755125000,2139630075,0,0,"",0,0,0,NA,NA
"3",3,3000595,"2021-10-06T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6950,0,0,0,0,6950,0,0,0,0,1586.7,6950,1900,0,0,620806680,620806680,504405428,0,0,"",0,0,0,NA,NA
"4",4,3000596,"2021-10-06T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",1270,0,0,1585,1270,1505,235,65039800,95643318000,4872,40.1,1510,2100,1505,330000,2753165000,2753165000,2013114248,30142000,192000,"",0,0,0,NA,NA
"5",5,3000597,"2021-10-06T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1S3PMN0000E743------------",1375,1380,1385,1445,1345,1410,35,78232700,109778037500,13183,1719.5,1415,137300,1410,1457500,1.715e+10,1.715e+10,14056140000,8683800,47349800,"",9e+05,1322100000,3,NA,NA
"6",6,3000598,"2021-10-06T00:00:00","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------",266,0,0,276,264,268,2,36375400,9850170200,2054,19.8,268,794700,266,2849800,12675160000,12675160000,9550733060,369500,6961100,"",0,0,0,NA,NA
"7",7,3000599,"2021-10-06T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",2590,0,0,2640,2560,2560,-30,204000,528149000,218,133,2580,6500,2560,15600,589896800,589896800,427616190,10500,0,"",0,0,0,NA,NA
"8",8,3000600,"2021-10-06T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V50000J211------------",1075,0,0,1140,1085,1105,30,46008000,51399553000,7348,867.8,1105,388500,1100,2127300,3560849376,3560849376,3016039421,5374900,4845500,"",0,0,0,NA,NA
"9",9,3000601,"2021-10-06T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",7700,0,0,7825,7750,7750,50,182700,1422992500,275,333.3,7775,1600,7750,15100,1e+09,1e+09,723800000,56600,0,"",0,0,0,NA,NA
"10",10,3000602,"2021-10-06T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",212,0,0,214,210,210,-2,6283000,1321859800,500,18.7,212,456400,210,65600,3889179559,3889179559,2878381792,56400,300,"",0,0,0,NA,NA
"11",11,3000603,"2021-10-06T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XD5U60000A121------------",1830,1925,1930,1945,1850,1865,35,274437500,517296094000,26092,169.5,1865,3792800,1860,140300,31985962000,31985962000,26583533018,41123700,99840000,"",22,41580,1,NA,NA
"12",12,3000604,"2021-10-06T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",348,0,0,358,344,354,6,20100,6999200,47,321.8,354,7100,350,4900,1e+09,1e+09,775100000,0,0,"",0,0,0,NA,NA
"13",13,3000605,"2021-10-06T00:00:00","AGII","Aneka Gas Industri Tbk.","--M-1835400000B111------------",1595,0,0,1650,1485,1485,-110,19206100,30089376000,5796,135,1490,6000,1485,46100,3066660000,3066660000,2324834946,1794500,3573500,"",0,0,0,NA,NA
"14",14,3000606,"2021-10-06T00:00:00","AGRO","Bank Rakyat Indonesia Agroniaga Tbk.","--U-1100000000G111------------",2000,0,0,2150,1980,2140,140,117518700,245131647000,24062,3496.3,2140,644900,2130,328400,21476054860,21476054860,15945970734,4230600,6453200,"",0,0,0,NA,NA
"15",15,3000607,"2021-10-06T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-2105000000G111------------",204,0,0,214,198,202,-2,18883600,3879764700,1653,250.8,204,41600,202,729900,17481603282,17481603282,12441657056,2326500,3178900,"",0,0,0,NA,NA
"16",16,3000608,"2021-10-06T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------",62,0,0,64,60,62,0,1965100,122159600,356,233.8,63,208500,62,1023200,2.94e+09,2.94e+09,2216466000,0,0,"",0,0,0,NA,NA
"17",17,3000609,"2021-10-06T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-2130000000A121------------",322,0,0,336,312,326,4,115500,37401000,135,260.8,326,6600,318,6100,2.2e+08,2.2e+08,165616000,0,0,"",0,0,0,NA,NA
"18",18,3000610,"2021-10-06T00:00:00","AISA","FKS Food Sejahtera Tbk.","--U-1105000000D222--------G---",234,0,0,248,220,232,-2,183817300,43412028200,13634,28.2,234,375100,232,341400,9311800000,9311800000,7534177380,650600,5329100,"",5e+05,1.19e+08,1,NA,NA
"19",19,3000611,"2021-10-06T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-2130000000E512------------",50,0,0,50,50,50,0,12197400,609870000,3452,75.9,50,5429200,0,0,6449463636,6449463636,5013813031,0,0,"",140000,7e+05,1,NA,NA
"20",20,3000612,"2021-10-06T00:00:00","AKPI","Argha Karya Prima Industry Tbk.","--U-2130000000B113------------",605,0,0,625,605,625,20,98400,61077000,30,82.4,625,27600,620,10300,612248000,612248000,436655274,0,0,"",0,0,0,NA,NA
"21",21,3000613,"2021-10-06T00:00:00","AKRA","AKR Corporindo Tbk.","--MO1H7XM80000A112------------",4410,4430,4440,4450,4340,4380,-30,6335700,27749240000,2186,3490.8,4380,131900,4370,2100,4014694920,4014694920,3261136684,1993800,2858300,"",229800,999630000,2,NA,NA
"22",22,3000614,"2021-10-06T00:00:00","AKSI","Maming Enam Sembilan Mineral Tbk.","--U-2130000000K211------------",420,0,0,420,414,420,0,10000,4191000,8,210,422,2200,420,2900,7.2e+08,7.2e+08,521280000,0,0,"",0,0,0,NA,NA
"23",23,3000615,"2021-10-06T00:00:00","ALDO","Alkindo Naratama Tbk.","--U-2130000000B131------------",790,0,0,800,735,780,-10,6836200,5307658500,1041,571.7,780,7000,775,500,1.1e+09,1.1e+09,806410000,416100,218200,"",0,0,0,NA,NA
"24",24,3000616,"2021-10-06T00:00:00","ALKA","Alakasa Industrindo Tbk","--U-2130000000B141------------",250,0,0,270,248,268,18,14000,3635000,35,45.1,268,112100,258,100,507665055,507665055,366788002,6500,0,"",0,0,0,NA,NA
"25",25,3000617,"2021-10-06T00:00:00","ALMI","Alumindo Light Metal Industry Tbk.","--U-2100000000B141-E----------",236,0,0,248,236,238,2,800,191200,4,36.6,248,5200,238,69500,6.16e+08,6.16e+08,461630400,0,0,"",0,0,0,NA,NA
"26",26,3000618,"2021-10-06T00:00:00","ALTO","Tri Banyan Tirta Tbk.","--U-1100000000D212------------",316,0,0,316,304,314,-2,32600,9977400,18,156.9,314,800,308,100,2191870558,2191870558,1681164718,0,0,"",0,0,0,NA,NA
"27",27,3000619,"2021-10-06T00:00:00","AMAG","Asuransi Multi Artha Guna Tbk.","--M-2105000000G412------------",330,0,0,332,326,330,0,41600,13629400,65,314.3,330,6500,326,7000,5001552516,5001552516,3628126195,0,0,"",0,0,0,NA,NA
"28",28,3000620,"2021-10-06T00:00:00","AMAN","Makmur Berkah Amanda Tbk.","XDM-1135000000H111------------",458,0,0,468,456,468,10,5102200,2353795400,344,425.5,470,245000,468,202000,3873500000,3873500000,2848184550,0,0,"",0,0,0,NA,NA
"29",29,3000621,"2021-10-06T00:00:00","AMAR","Bank Amar Indonesia Tbk.","--U-2105000000G111------------",274,0,0,282,272,274,0,3329600,920985200,324,157.5,274,104600,272,661800,7954749000,7954749000,5770374925,1664300,20300,"",0,0,0,NA,NA
"30",30,3000622,"2021-10-06T00:00:00","AMFG","Asahimas Flat Glass Tbk.","--U-1105000000C121------------",3850,0,0,3850,3820,3850,0,167800,646024000,20,157.1,3850,253400,3820,23000,4.34e+08,4.34e+08,329232400,164600,0,"",0,0,0,NA,NA
"31",31,3000623,"2021-10-06T00:00:00","AMIN","Ateliers Mecaniques D Indonesie Tbk.","--U-2130000000C143------------",190,0,0,191,183,188,-2,2900,547300,12,146.9,188,16900,183,3900,1.08e+09,1.08e+09,815400000,0,0,"",0,0,0,NA,NA
"32",32,3000624,"2021-10-06T00:00:00","AMOR","Ashmore Asset Management Indonesia Tbk.","--M-2105000000G311------------",3810,0,0,3890,3710,3850,40,580900,2244213000,1656,202.6,3850,5500,3830,20300,1111111200,1109269200,809777843,17800,7800,"",0,0,0,NA,NA
"33",33,3000625,"2021-10-06T00:00:00","AMRT","Sumber Alfaria Trijaya Tbk.","--M-1M00500000D113------------",1325,0,0,1330,1245,1305,-20,26035100,33071997000,4913,3330,1305,652300,1290,5700,41524501700,41524501700,34760160373,1764000,10721600,"",894500,1130648000,1,NA,NA
"34",34,3000626,"2021-10-06T00:00:00","ANDI","Andira Agro Tbk.","--U-2130000000D232------------",50,0,0,50,50,50,0,3568600,178430000,119,125,50,13589000,0,0,9.35e+09,9.35e+09,7681025000,3140000,0,"",0,0,0,NA,NA
"35",35,3000627,"2021-10-06T00:00:00","ANJT","Austindo Nusantara Jaya Tbk.","--U-1135000000D232------------",740,0,0,775,735,755,15,401800,302232500,95,62.9,755,15400,745,800,3354175000,3354175000,2441503983,17000,0,"",0,0,0,NA,NA
"36",36,3000628,"2021-10-06T00:00:00","ANTM","Aneka Tambang Tbk.","--MO1XDARC0000B146------------",2300,2320,2310,2340,2300,2300,0,98305700,227851027000,17992,1516.5,2310,960300,2300,7294600,24030764725,24030764725,19332750221,12298500,6902700,"",91,209300,1,NA,NA
"37",37,3000629,"2021-10-06T00:00:00","APEX","Apexindo Pratama Duta Tbk.","--U-2105000000A131------------",540,0,0,565,530,545,5,68600,37065500,79,34.9,545,3000,530,12600,2659850000,2659850000,1933976935,0,0,"",0,0,0,NA,NA
"38",38,3000630,"2021-10-06T00:00:00","APIC","Pacific Strategic Financial Tbk.","--M-2105000000G511------------",885,0,0,895,865,870,-15,7727200,6808514000,845,925.4,870,34000,865,184400,11766313488,11766313488,10452016271,308100,394500,"",0,0,0,NA,NA
"39",39,3000631,"2021-10-06T00:00:00","APII","Arita Prima Indonesia Tbk.","--U-2130000000C143------------",183,0,0,184,180,182,-1,15000,2742000,23,82.7,184,49800,182,9900,1075760000,1075760000,835435216,0,300,"",0,0,0,NA,NA
